Datum,Niet geïndexeerd,Geïndexeerd,Vertoningen
2026-03-17,15148,32,6
2026-03-18,15143,32,2
2026-03-19,15143,32,3
2026-03-20,15143,32,1
2026-03-21,15143,32,1
2026-03-22,15141,32,1
2026-03-23,15141,32,3
2026-03-24,15141,32,3
2026-03-25,4896,32,0
2026-03-26,4896,32,0
2026-03-27,4896,32,0
2026-03-28,4896,32,3
2026-03-29,2724,31,5
2026-03-30,2724,31,0
2026-03-31,2724,31,1
2026-04-01,2717,31,0
2026-04-02,2717,31,0
2026-04-03,2717,31,3
2026-04-04,2717,31,1
2026-04-05,2697,31,1
2026-04-06,2697,31,0
2026-04-07,2689,31,0
2026-04-08,2689,31,1
2026-04-09,2689,31,6
2026-04-10,2689,31,3
2026-04-11,2683,31,0
2026-04-12,2683,31,0
2026-04-13,2683,31,3
2026-04-14,2681,29,3
2026-04-15,2681,29,6
2026-04-16,2681,29,1
2026-04-17,2681,29,0
2026-04-18,1644,29,0
2026-04-19,1644,29,0
2026-04-20,1644,29,2
2026-04-21,608,37,1
2026-04-22,608,37,4
2026-04-23,608,37,2
2026-04-24,608,37,1
2026-04-25,589,39,1
2026-04-26,589,39,1
2026-04-27,589,39,1
2026-04-28,585,38,2
2026-04-29,585,38,0
2026-04-30,585,38,0
2026-05-01,585,38,9
2026-05-02,584,38,1
2026-05-03,584,38,2
2026-05-04,584,38,1
2026-05-05,583,39,2
2026-05-06,583,39,0
2026-05-07,583,39,2
2026-05-08,583,39,1
2026-05-09,586,42,0
2026-05-10,586,42,2
2026-05-11,586,42,2
2026-05-12,578,39,5
2026-05-13,578,39,6
2026-05-14,578,39,1
2026-05-15,578,39,1
2026-05-16,155,46,1
2026-05-17,155,46,44
2026-05-18,155,46,2
2026-05-19,141,54,2
2026-05-20,141,54,3
2026-05-21,141,54,0
2026-05-22,141,54,2
2026-05-23,144,56,3
2026-05-24,144,56,0
2026-05-25,144,56,3
2026-05-26,134,56,0
2026-05-27,134,56,1
2026-05-28,134,56,0
2026-05-29,134,56,2
2026-05-30,136,58,1
2026-05-31,136,58,1
2026-06-01,136,58,2
2026-06-02,142,58,3
2026-06-03,142,58,1
2026-06-04,142,58,6
2026-06-05,142,58,5
2026-06-06,141,64,40
2026-06-07,141,64,24
2026-06-08,141,64,36
2026-06-09,136,74,31
2026-06-10,136,74,35
2026-06-11,136,74,29
2026-06-12,136,74,31